|SA|,|we cud i might your my myself cud further rain expected, dubairains abudhabirain flooding uaestorm stay safe all URL| 
|NSA|,|abudhabi dubai uae uaestorm water on exit 403...oasis in dessert URL| 
|NSA|,|abudhabi trip cancelled due to unstable weather. doha calling now, but post the inbound flight experience, bit worried to fly😐 
uaestorm| 
|NSA|,|architectureproblems many shattered windows and facades due to uaestorm - is using so much glass such a👍idea? 
URL|
|SA|,|firstpost uaestorm flights, force closure of schools, markets| 
|NSA|,|lightning &amp; thunder over abudhabi. uaerains uaestorm abudhabirain| 
|SA|,|rain expected to continue throughout the night- URL dubairains abudhabirain uaestorm| 
|SA|,|uae schools to remain closed on thursday due to weather| 
|SA|,|uaestorm dubaifloods avoid gardens cross road. 4x4s and trucks only| 
|NSA|,|uaestorm brings lessons for construction sector|  
|SA|,|dubai and abu dhabi lashed with heavy rainfall, watch video URL heavyrain uaestorm| 
|SA|,|road diversion  dubairains uaestorm rain dubai abudhabi traffic| 
|NSA|,|some amazing video clips on dubairains uaestorm| 
|NSA|,|i've seen those pics. partially damages buildings and streets are waterlogged. stay safe please. uaestorm dubairains| 
|NSA|,|AT_USER its high tym to think n act eco friendly!!!!uaestorm URL| 
|SA|,|12 second video showing fierce winds over abudhabi. abudhabirain uaestorm| 
|NSA|,|a big thank you for the AT_USER and the AT_USER for their efforts today in keeping us safe uaestorm| 
|NSA|,|a stormy day in dubai are you enjoying it or waiting for it to pass? stay safe all! dubairains quote uaestorm URL|
|SA|,|Please can anyone helpout..call 123455|
|SA|,|contact 23445 for emergency work|
|SA|,|33 dead during the dubairains floods|
